"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 04 16:00:38 MSK 2024","Tue Jun 04 16:00:53 MSK 2024","14367","","ru.iteco.fmhandroid.tests.OurMissionUnitTest","","ru.iteco.fmhandroid.tests.OurMissionUnitTest","test","OurMission: Развернуть сернуть описание",""
"passed","Tue Jun 04 16:04:24 MSK 2024","Tue Jun 04 16:04:51 MSK 2024","26331","","ru.iteco.fmhandroid.tests.FilterActiveNewsTest","","ru.iteco.fmhandroid.tests.FilterActiveNewsTest","testCpFilterActive","Control Panel: фильтр Active",""
"skipped","Tue Jun 04 16:03:58 MSK 2024","Tue Jun 04 16:03:58 MSK 2024","0","","ru.iteco.fmhandroid.tests.NewsUnitTest","","ru.iteco.fmhandroid.tests.NewsUnitTest","testCpFiltersEmpty","Control Panel: Фильтры Not Active и Active сняты",""
"passed","Tue Jun 04 16:05:41 MSK 2024","Tue Jun 04 16:06:08 MSK 2024","26649","","ru.iteco.fmhandroid.tests.FilterNotActiveNewsTest","","ru.iteco.fmhandroid.tests.FilterNotActiveNewsTest","testCpFilterNotActive","Control Panel: фильтр Not Active",""
"passed","Tue Jun 04 15:58:15 MSK 2024","Tue Jun 04 15:58:44 MSK 2024","28877","","ru.iteco.fmhandroid.tests.MainUnitTest","","ru.iteco.fmhandroid.tests.MainUnitTest","testToAllNews","Вкладка News: переход в раздел All News",""
"passed","Tue Jun 04 16:08:42 MSK 2024","Tue Jun 04 16:09:00 MSK 2024","18285","","ru.iteco.fmhandroid.tests.OpenNewsTest","","ru.iteco.fmhandroid.tests.OpenNewsTest","testCpOpenOneNews","Control Panel: Развернуть описание",""
"passed","Tue Jun 04 16:13:20 MSK 2024","Tue Jun 04 16:13:46 MSK 2024","26284","","ru.iteco.fmhandroid.tests.EditNewsTest","","ru.iteco.fmhandroid.tests.EditNewsTest","testEditTitleNews","Control panel: Отредактировать новость",""
"passed","Tue Jun 04 15:59:05 MSK 2024","Tue Jun 04 15:59:16 MSK 2024","10933","","ru.iteco.fmhandroid.tests.MainUnitTest","","ru.iteco.fmhandroid.tests.MainUnitTest","testOpenOurMission","Отображение и открытие раздела ""Our Mission'",""
"passed","Tue Jun 04 15:46:25 MSK 2024","Tue Jun 04 15:46:33 MSK 2024","7943","","ru.iteco.fmhandroid.tests.AuthUnitTest","","ru.iteco.fmhandroid.tests.AuthUnitTest","testAuthEmptyPassword","testAuthEmptyPassword",""
"passed","Tue Jun 04 15:46:13 MSK 2024","Tue Jun 04 15:46:25 MSK 2024","11215","","ru.iteco.fmhandroid.tests.AuthUnitTest","","ru.iteco.fmhandroid.tests.AuthUnitTest","testLogout","testLogout",""
